date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,vehicles and fuel tanks,cruise missiles,personnel,POW,inc_personnel_loss,week
2022-04-17,53,165,146,773,2002,376,127,1471.0,76.0,148,8,66,27.0,4.0,2050.5,97.0,20300,477,200.0,7
2022-04-18,54,167,147,790,2041,381,130,1487.0,76.0,155,8,67,27.0,4.0,2050.5,97.0,20600,477,300.0,7
2022-04-19,55,169,150,802,2063,386,132,1495.0,76.0,158,8,67,27.0,4.0,2050.5,97.0,20800,489,200.0,7
2022-04-20,56,171,150,815,2087,391,136,1504.0,76.0,165,8,67,27.0,4.0,2050.5,97.0,20900,489,100.0,8
2022-04-21,57,172,151,829,2118,393,136,1508.0,76.0,166,8,67,27.0,4.0,2050.5,97.0,21000,489,100.0,8
2022-04-22,58,176,153,838,2162,397,138,1523.0,76.0,172,8,69,27.0,4.0,2050.5,97.0,21200,489,200.0,8
2022-04-23,59,177,154,854,2205,403,143,1543.0,76.0,182,8,69,27.0,4.0,2050.5,97.0,21600,489,400.0,8
2022-04-24,60,179,154,873,2238,408,147,1557.0,76.0,191,8,69,28.0,4.0,2050.5,97.0,21800,489,200.0,8
2022-04-25,61,181,154,884,2258,411,149,1566.0,76.0,201,8,69,28.0,4.0,2050.5,97.0,21900,489,100.0,8
2022-04-26,62,184,154,918,2308,416,149,1643.0,76.0,205,8,69,31.0,4.0,2050.5,97.0,22100,489,200.0,8
2022-04-27,63,185,155,939,2342,421,149,1666.0,76.0,207,8,71,31.0,4.0,2050.5,97.0,22400,496,300.0,9
2022-04-28,64,187,155,970,2389,431,151,1688.0,76.0,215,8,72,31.0,4.0,2050.5,97.0,22800,496,400.0,9
2022-04-29,65,189,155,986,2418,435,151,1695.0,76.0,229,8,73,31.0,4.0,2050.5,97.0,23000,496,200.0,9
2022-04-30,66,190,155,1008,2445,436,151,1701.0,76.0,232,8,77,32.0,4.0,2050.5,97.0,23200,496,200.0,9
2022-05-01,67,192,155,1026,2471,451,151,1178.0,69.32307692307693,245,8,80,32.0,4.0,1796.0,84.0,23500,496,300.0,9
2022-05-02,68,194,155,1048,2519,459,152,1178.0,69.32307692307693,271,8,80,38.0,4.0,1824.0,84.0,23800,496,300.0,9
2022-05-03,69,194,155,1062,2567,475,162,1178.0,69.32307692307693,291,10,80,38.0,4.0,1843.0,84.0,24200,496,400.0,9
2022-05-04,70,194,155,1077,2610,491,163,1178.0,69.32307692307693,303,10,81,38.0,4.0,1867.0,87.0,24500,496,300.0,10
2022-05-05,71,196,155,1092,2651,499,169,1178.0,69.32307692307693,312,10,83,38.0,4.0,1907.0,89.0,24700,496,200.0,10
2022-05-06,72,199,155,1110,2686,502,171,1178.0,69.32307692307693,324,11,83,38.0,4.0,1926.0,90.0,24900,496,200.0,10
2022-05-07,73,199,155,1122,2713,509,172,1178.0,69.32307692307693,341,11,84,38.0,4.0,1934.0,90.0,25100,496,200.0,10
2022-05-08,74,199,156,1130,2741,509,179,1178.0,69.32307692307693,360,12,86,39.0,4.0,1961.0,92.0,25500,496,400.0,10
2022-05-09,75,199,158,1145,2764,513,185,1178.0,69.32307692307693,377,12,87,41.0,4.0,1970.0,94.0,25650,496,150.0,10
2022-05-10,76,199,158,1170,2808,519,185,1178.0,69.32307692307693,380,12,87,41.0,4.0,1980.0,94.0,26000,498,350.0,10
2022-05-11,77,199,160,1187,2856,528,185,1178.0,69.32307692307693,390,12,87,41.0,4.0,1997.0,94.0,26350,498,350.0,11
2022-05-12,78,199,161,1195,2873,534,191,1178.0,69.32307692307693,398,13,87,41.0,4.0,2019.0,94.0,26650,498,300.0,11
2022-05-13,79,200,162,1205,2900,542,193,1178.0,69.32307692307693,405,13,88,41.0,4.0,2042.0,95.0,26900,498,250.0,11
2022-05-14,80,200,163,1218,2934,551,195,1178.0,69.32307692307693,411,13,88,42.0,4.0,2059.0,95.0,27200,498,300.0,11
2022-05-15,81,200,164,1220,2958,555,195,1178.0,69.32307692307693,416,13,89,42.0,4.0,2087.0,95.0,27400,498,200.0,11
2022-05-16,82,200,165,1228,2974,577,195,1178.0,69.32307692307693,427,13,89,42.0,4.0,2101.0,97.0,27700,498,300.0,11
2022-05-17,83,201,167,1235,3009,578,198,1178.0,69.32307692307693,436,13,90,43.0,4.0,2109.0,97.0,27900,498,200.0,11
2022-05-18,84,202,167,1251,3043,586,199,1178.0,69.32307692307693,441,13,91,43.0,4.0,2137.0,102.0,28300,498,400.0,12
2022-05-19,85,203,167,1254,3063,595,199,1178.0,69.32307692307693,455,13,93,43.0,4.0,2157.0,103.0,28500,498,200.0,12
2022-05-20,86,204,168,1263,3090,596,200,1178.0,69.32307692307693,460,13,93,43.0,4.0,2162.0,103.0,28700,498,200.0,12
2022-05-21,87,204,169,1278,3116,596,201,1178.0,69.32307692307693,462,13,93,43.0,4.0,2178.0,104.0,28850,498,150.0,12
2022-05-22,88,204,170,1285,3141,599,201,1178.0,69.32307692307693,470,13,93,43.0,4.0,2194.0,107.0,29050,498,200.0,12
2022-05-23,89,204,170,1293,3166,604,201,1178.0,69.32307692307693,476,13,93,43.0,4.0,2206.0,110.0,29200,498,150.0,12
2022-05-24,90,205,170,1302,3194,606,201,1178.0,69.32307692307693,480,13,93,43.0,4.0,2213.0,112.0,29350,498,150.0,12
2022-05-25,91,206,170,1305,3213,606,201,1178.0,69.32307692307693,491,13,93,44.0,4.0,2217.0,112.0,29450,498,100.0,13
2022-05-26,92,206,170,1315,3235,617,201,1178.0,69.32307692307693,502,13,93,47.0,4.0,2225.0,114.0,29600,498,150.0,13
